#t step_exp step_exp_err step_rel step_rel_err diff_exp diff_exp_err diff_rel diff_rel_err chem_exp chem_exp_err chem_rel chem_rel_err speedup speedup_err 
76 0.0123704 0 4.78533e-05 0 2.59605e-05 0 3.21365e-05 0 0.0123444 0 1.57168e-05 0 258.506 0.0751072
77 0.0124221 0 4.79525e-05 0 2.60481e-05 0 3.22352e-05 0 0.0123961 0 1.57173e-05 0 259.05 0.0725428
78 0.0124858 0 4.80623e-05 0 2.61034e-05 0 3.232e-05 0 0.0124597 0 1.57423e-05 0 259.783 0.0841182
79 0.0125569 0 4.81345e-05 0 2.6172e-05 0 3.24097e-05 0 0.0125307 0 1.57247e-05 0 260.872 0.0756067
80 0.0125983 0 4.83284e-05 0 2.62474e-05 0 3.25765e-05 0 0.0125721 0 1.57519e-05 0 260.709 0.36179
81 0.0126575 0 4.83432e-05 0 2.63251e-05 0 3.26238e-05 0 0.0126312 0 1.57194e-05 0 261.828 0.100103
82 0.0127131 0 4.8428e-05 0 2.63716e-05 0 3.26945e-05 0 0.0126867 0 1.57335e-05 0 262.515 0.067178
83 0.0127703 0 4.85208e-05 0 2.64682e-05 0 3.27624e-05 0 0.0127438 0 1.57584e-05 0 263.192 0.0756335
84 0.0128148 0 4.85835e-05 0 2.65322e-05 0 3.28646e-05 0 0.0127882 0 1.57189e-05 0 263.768 0.0801795
85 0.0128822 0 4.87284e-05 0 2.65879e-05 0 3.29515e-05 0 0.0128556 0 1.57769e-05 0 264.368 0.0988624
86 0.0129427 0 4.87607e-05 0 2.66707e-05 0 3.30304e-05 0 0.012916 0 1.57303e-05 0 265.434 0.0720485
87 0.0130077 0 4.88859e-05 0 2.6731e-05 0 3.31249e-05 0 0.012981 0 1.5761e-05 0 266.084 0.0740444
88 0.0130598 0 4.8954e-05 0 2.68034e-05 0 3.3202e-05 0 0.013033 0 1.57519e-05 0 266.777 0.07034
89 0.0131164 0 4.90473e-05 0 2.68664e-05 0 3.32954e-05 0 0.0130895 0 1.57519e-05 0 267.423 0.0730633
90 0.0131808 0 4.91289e-05 0 2.69238e-05 0 3.33665e-05 0 0.0131539 0 1.57624e-05 0 268.29 0.0671641
91 0.0132046 0 4.92188e-05 0 2.70014e-05 0 3.34719e-05 0 0.0131776 0 1.5747e-05 0 268.284 0.103541
92 0.0132792 0 4.93044e-05 0 2.70587e-05 0 3.35437e-05 0 0.0132522 0 1.57608e-05 0 269.332 0.0660976
93 0.0133282 0 4.93873e-05 0 2.713e-05 0 3.36202e-05 0 0.0133011 0 1.57671e-05 0 269.871 0.0770582
94 0.0133995 0 4.94971e-05 0 2.71999e-05 0 3.37103e-05 0 0.0133723 0 1.57868e-05 0 270.714 0.10626
95 0.0134409 0 4.95496e-05 0 2.72798e-05 0 3.37858e-05 0 0.0134137 0 1.57639e-05 0 271.262 0.0778876
96 0.0134876 0 4.96562e-05 0 2.73364e-05 0 3.38704e-05 0 0.0134603 0 1.57858e-05 0 271.62 0.0794503
97 0.0135437 0 4.9716e-05 0 2.7397e-05 0 3.39527e-05 0 0.0135163 0 1.57633e-05 0 272.421 0.0659339
98 0.0135992 0 4.98019e-05 0 2.74608e-05 0 3.40093e-05 0 0.0135717 0 1.57926e-05 0 273.066 0.0749576
99 0.0136638 0 4.98901e-05 0 2.75331e-05 0 3.41163e-05 0 0.0136363 0 1.57737e-05 0 273.879 0.0718063
100 0.0137073 0 4.99705e-05 0 2.75829e-05 0 3.42036e-05 0 0.0136797 0 1.5767e-05 0 274.308 0.0730589
101 0.0137589 0 5.00521e-05 0 2.76427e-05 0 3.42843e-05 0 0.0137313 0 1.57678e-05 0 274.891 0.0673836
102 0.0138123 0 5.01449e-05 0 2.7713e-05 0 3.4352e-05 0 0.0137846 0 1.57929e-05 0 275.449 0.0828483
103 0.0138678 0 5.02255e-05 0 2.77856e-05 0 3.44271e-05 0 0.01384 0 1.57985e-05 0 276.11 0.0633995
104 0.0138919 0 5.03057e-05 0 2.78278e-05 0 3.45194e-05 0 0.0138641 0 1.57863e-05 0 276.15 0.0872299
105 0.0139589 0 5.03857e-05 0 2.79172e-05 0 3.46041e-05 0 0.013931 0 1.57816e-05 0 277.041 0.0515957
106 0.0139929 0 5.04532e-05 0 2.79864e-05 0 3.4674e-05 0 0.0139649 0 1.57793e-05 0 277.344 0.0736096
107 0.0140491 0 5.05514e-05 0 2.80274e-05 0 3.47507e-05 0 0.0140211 0 1.58006e-05 0 277.918 0.084794
108 0.0140734 0 5.06055e-05 0 2.8072e-05 0 3.48294e-05 0 0.0140453 0 1.57761e-05 0 278.1 0.0707419
109 0.0141178 0 5.07093e-05 0 2.81337e-05 0 3.48977e-05 0 0.0140897 0 1.58116e-05 0 278.408 0.0827716
110 0.0141428 0 5.07534e-05 0 2.82078e-05 0 3.49695e-05 0 0.0141146 0 1.57838e-05 0 278.658 0.06678
111 0.0142154 0 5.08566e-05 0 2.8272e-05 0 3.50507e-05 0 0.0141871 0 1.58059e-05 0 279.519 0.0742311
112 0.0142667 0 5.09168e-05 0 2.83256e-05 0 3.51154e-05 0 0.0142384 0 1.58014e-05 0 280.196 0.0620966
113 0.0143295 0 5.10072e-05 0 2.83699e-05 0 3.52221e-05 0 0.0143011 0 1.57851e-05 0 280.931 0.0801808
114 0.0143532 0 5.10622e-05 0 2.84525e-05 0 3.52807e-05 0 0.0143248 0 1.57815e-05 0 281.093 0.0752744
115 0.0144173 0 5.11775e-05 0 2.8491e-05 0 3.53564e-05 0 0.0143888 0 1.58211e-05 0 281.713 0.102428
116 0.0144667 0 5.12259e-05 0 2.85479e-05 0 3.54227e-05 0 0.0144382 0 1.58033e-05 0 282.41 0.0694361
117 0.0145074 0 5.13184e-05 0 2.86282e-05 0 3.54986e-05 0 0.0144788 0 1.58197e-05 0 282.694 0.0694343
118 0.0145613 0 5.13768e-05 0 2.86861e-05 0 3.55879e-05 0 0.0145326 0 1.57889e-05 0 283.422 0.0877417
119 0.0146117 0 5.1462e-05 0 2.87431e-05 0 3.5653e-05 0 0.014583 0 1.58091e-05 0 283.932 0.0824456
120 0.0146525 0 5.15257e-05 0 2.87874e-05 0 3.57213e-05 0 0.0146237 0 1.58044e-05 0 284.372 0.0885936
121 0.0147072 0 5.16092e-05 0 2.8859e-05 0 3.57965e-05 0 0.0146783 0 1.58127e-05 0 284.972 0.06403
122 0.0147409 0 5.16646e-05 0 2.89208e-05 0 3.58644e-05 0 0.014712 0 1.58002e-05 0 285.32 0.0847369
123 0.0148148 0 5.17531e-05 0 2.89714e-05 0 3.59291e-05 0 0.0147858 0 1.58241e-05 0 286.259 0.0760753
124 0.0148395 0 5.17969e-05 0 2.90197e-05 0 3.59955e-05 0 0.0148105 0 1.58013e-05 0 286.495 0.070129
125 0.0149041 0 5.19019e-05 0 2.90795e-05 0 3.60728e-05 0 0.014875 0 1.58291e-05 0 287.159 0.0659673
126 0.0149518 0 5.19554e-05 0 2.9146e-05 0 3.61406e-05 0 0.0149226 0 1.58148e-05 0 287.781 0.0813042
127 0.0149911 0 5.20375e-05 0 2.92117e-05 0 3.62339e-05 0 0.0149619 0 1.58036e-05 0 288.082 0.0694578
128 0.0150486 0 5.211e-05 0 2.92617e-05 0 3.62896e-05 0 0.0150194 0 1.58204e-05 0 288.786 0.077581
129 0.0151004 0 5.21704e-05 0 2.92868e-05 0 3.63636e-05 0 0.0150711 0 1.58069e-05 0 289.443 0.0663159
130 0.0151378 0 5.22816e-05 0 2.93473e-05 0 3.64434e-05 0 0.0151084 0 1.58382e-05 0 289.545 0.109705
131 0.015178 0 5.23062e-05 0 2.94173e-05 0 3.65162e-05 0 0.0151486 0 1.579e-05 0 290.177 0.0626982
132 0.0152248 0 5.23914e-05 0 2.9461e-05 0 3.65665e-05 0 0.0151953 0 1.5825e-05 0 290.597 0.0705731
133 0.0152636 0 5.24492e-05 0 2.95144e-05 0 3.66497e-05 0 0.0152341 0 1.57995e-05 0 291.019 0.112691
134 0.0153379 0 5.25491e-05 0 2.95835e-05 0 3.67076e-05 0 0.0153084 0 1.58416e-05 0 291.878 0.0621305
135 0.0153769 0 5.25946e-05 0 2.96285e-05 0 3.67928e-05 0 0.0153472 0 1.58019e-05 0 292.366 0.0717522
136 0.0153987 0 5.26915e-05 0 2.96707e-05 0 3.68663e-05 0 0.015369 0 1.58252e-05 0 292.243 0.0793689
137 0.0154428 0 5.27273e-05 0 2.9746e-05 0 3.69201e-05 0 0.015413 0 1.58073e-05 0 292.88 0.0752087
138 0.0154887 0 5.28072e-05 0 2.9801e-05 0 3.69883e-05 0 0.0154589 0 1.58189e-05 0 293.307 0.0788827
139 0.0155102 0 5.28732e-05 0 2.9854e-05 0 3.70485e-05 0 0.0154803 0 1.58247e-05 0 293.346 0.0706006
140 0.0155743 0 5.29298e-05 0 2.98986e-05 0 3.71116e-05 0 0.0155444 0 1.58182e-05 0 294.245 0.0661438
141 0.0156308 0 5.30082e-05 0 2.99614e-05 0 3.7187e-05 0 0.0156009 0 1.58212e-05 0 294.875 0.0665476
142 0.0156255 0 5.30595e-05 0 3.00156e-05 0 3.72537e-05 0 0.0155955 0 1.58058e-05 0 294.49 0.0804685
143 0.0156912 0 5.31542e-05 0 3.00588e-05 0 3.73181e-05 0 0.0156612 0 1.58361e-05 0 295.202 0.0776237
144 0.015734 0 5.3207e-05 0 3.0097e-05 0 3.73828e-05 0 0.0157039 0 1.58242e-05 0 295.713 0.0702143
145 0.0157763 0 5.32794e-05 0 3.01751e-05 0 3.74534e-05 0 0.0157461 0 1.5826e-05 0 296.105 0.0563602
146 0.0158116 0 5.33531e-05 0 3.02161e-05 0 3.75196e-05 0 0.0157814 0 1.58335e-05 0 296.359 0.100431
147 0.0158501 0 5.34056e-05 0 3.02781e-05 0 3.75843e-05 0 0.0158198 0 1.58213e-05 0 296.788 0.0617935
148 0.0159059 0 5.34907e-05 0 3.03218e-05 0 3.76577e-05 0 0.0158755 0 1.5833e-05 0 297.358 0.0826799
149 0.0159603 0 5.35422e-05 0 3.03935e-05 0 3.77158e-05 0 0.0159299 0 1.58263e-05 0 298.088 0.0682866
150 0.0159788 0 5.36135e-05 0 3.04514e-05 0 3.77861e-05 0 0.0159484 0 1.58274e-05 0 298.037 0.0603822
151 0.0160158 0 5.36641e-05 0 3.04713e-05 0 3.78411e-05 0 0.0159853 0 1.58229e-05 0 298.446 0.0750188
152 0.0160888 0 5.37619e-05 0 3.0548e-05 0 3.79341e-05 0 0.0160583 0 1.58278e-05 0 299.263 0.110099
153 0.0160848 0 5.38225e-05 0 3.06004e-05 0 3.79811e-05 0 0.0160542 0 1.58414e-05 0 298.849 0.0874133
154 0.0161518 0 5.3861e-05 0 3.06258e-05 0 3.80374e-05 0 0.0161212 0 1.58236e-05 0 299.88 0.0658545
155 0.0161865 0 5.39306e-05 0 3.06855e-05 0 3.8102e-05 0 0.0161558 0 1.58286e-05 0 300.136 0.0715488
156 0.0162036 0 5.39815e-05 0 3.07057e-05 0 3.81655e-05 0 0.0161729 0 1.5816e-05 0 300.17 0.0781093
157 0.0162689 0 5.40572e-05 0 3.07742e-05 0 3.82215e-05 0 0.0162382 0 1.58357e-05 0 300.958 0.0806532
158 0.0163 0 5.41192e-05 0 3.08211e-05 0 3.82933e-05 0 0.0162692 0 1.58259e-05 0 301.187 0.0678879
159 0.0163509 0 5.41887e-05 0 3.0868e-05 0 3.83485e-05 0 0.01632 0 1.58402e-05 0 301.74 0.068052
160 0.0164 0 5.42501e-05 0 3.09419e-05 0 3.84204e-05 0 0.016369 0 1.58297e-05 0 302.303 0.0730255
161 0.0164085 0 5.43049e-05 0 3.09679e-05 0 3.84872e-05 0 0.0163775 0 1.58177e-05 0 302.155 0.0547661
162 0.0164811 0 5.43766e-05 0 3.10117e-05 0 3.85486e-05 0 0.0164501 0 1.5828e-05 0 303.092 0.0742138
163 0.0164816 0 5.44342e-05 0 3.10666e-05 0 3.86035e-05 0 0.0164506 0 1.58307e-05 0 302.781 0.0700801
164 0.016548 0 5.45203e-05 0 3.11353e-05 0 3.86732e-05 0 0.0165168 0 1.58471e-05 0 303.52 0.0889518
165 0.0165829 0 5.45514e-05 0 3.11921e-05 0 3.87346e-05 0 0.0165517 0 1.58168e-05 0 303.987 0.0603961
166 0.0165784 0 5.46185e-05 0 3.12351e-05 0 3.87943e-05 0 0.0165472 0 1.58242e-05 0 303.532 0.0673253
167 0.0166643 0 5.46752e-05 0 3.12772e-05 0 3.88618e-05 0 0.016633 0 1.58134e-05 0 304.787 0.0660074
168 0.0166752 0 5.47624e-05 0 3.13344e-05 0 3.89254e-05 0 0.0166439 0 1.5837e-05 0 304.502 0.0946455
169 0.0167185 0 5.48231e-05 0 3.13545e-05 0 3.89744e-05 0 0.0166871 0 1.58488e-05 0 304.953 0.070531
170 0.0167593 0 5.4869e-05 0 3.14139e-05 0 3.90385e-05 0 0.0167279 0 1.58305e-05 0 305.443 0.0886544
171 0.0167893 0 5.4929e-05 0 3.14732e-05 0 3.91048e-05 0 0.0167578 0 1.58241e-05 0 305.654 0.069493
172 0.0168217 0 5.49726e-05 0 3.15215e-05 0 3.91471e-05 0 0.0167901 0 1.58255e-05 0 306.001 0.0760515
173 0.0168679 0 5.50502e-05 0 3.15547e-05 0 3.9203e-05 0 0.0168363 0 1.58472e-05 0 306.409 0.0840676
174 0.0169048 0 5.51304e-05 0 3.16153e-05 0 3.92964e-05 0 0.0168732 0 1.58341e-05 0 306.633 0.110248
175 0.0169551 0 5.51562e-05 0 3.16868e-05 0 3.93311e-05 0 0.0169234 0 1.58251e-05 0 307.402 0.0818444
