#t step_exp step_exp_err step_rel step_rel_err diff_exp diff_exp_err diff_rel diff_rel_err chem_exp chem_exp_err chem_rel chem_rel_err speedup speedup_err 
151 0.00613771 0 5.21846e-05 0 3.04731e-05 0 3.7848e-05 0 0.00610724 0 1.43366e-05 0 117.615 0.0370597
152 0.00613457 0 5.22909e-05 0 3.05453e-05 0 3.78889e-05 0 0.00610402 0 1.4402e-05 0 117.316 0.0385715
153 0.00615397 0 5.23381e-05 0 3.05937e-05 0 3.7991e-05 0 0.00612337 0 1.43471e-05 0 117.581 0.0463526
154 0.00613999 0 5.24095e-05 0 3.06503e-05 0 3.80382e-05 0 0.00610934 0 1.43714e-05 0 117.154 0.0412905
155 0.0061692 0 5.24864e-05 0 3.0723e-05 0 3.80976e-05 0 0.00613848 0 1.43889e-05 0 117.539 0.0370631
156 0.00615453 0 5.25368e-05 0 3.07451e-05 0 3.8159e-05 0 0.00612379 0 1.43778e-05 0 117.147 0.0350307
157 0.00616599 0 5.26143e-05 0 3.07902e-05 0 3.82317e-05 0 0.0061352 0 1.43827e-05 0 117.192 0.0313026
158 0.00615752 0 5.26608e-05 0 3.08562e-05 0 3.82972e-05 0 0.00612666 0 1.43636e-05 0 116.928 0.0312236
159 0.00616266 0 5.27777e-05 0 3.09108e-05 0 3.83645e-05 0 0.00613175 0 1.44132e-05 0 116.766 0.0382862
160 0.00617175 0 5.28055e-05 0 3.09494e-05 0 3.84171e-05 0 0.0061408 0 1.43884e-05 0 116.877 0.0304633
161 0.0061678 0 5.28914e-05 0 3.10298e-05 0 3.84878e-05 0 0.00613677 0 1.44035e-05 0 116.613 0.0385855
162 0.0061745 0 5.29536e-05 0 3.10414e-05 0 3.85557e-05 0 0.00614346 0 1.4398e-05 0 116.602 0.0430094
163 0.0061637 0 5.29945e-05 0 3.1091e-05 0 3.86093e-05 0 0.00613261 0 1.43852e-05 0 116.308 0.0333076
164 0.00616801 0 5.31034e-05 0 3.1134e-05 0 3.86741e-05 0 0.00613687 0 1.44293e-05 0 116.151 0.0372983
165 0.00616712 0 5.31492e-05 0 3.12004e-05 0 3.87359e-05 0 0.00613592 0 1.44134e-05 0 116.034 0.0439461
166 0.0061757 0 5.32113e-05 0 3.12331e-05 0 3.87974e-05 0 0.00614447 0 1.44139e-05 0 116.06 0.0304663
167 0.00617803 0 5.32683e-05 0 3.12901e-05 0 3.88646e-05 0 0.00614674 0 1.44037e-05 0 115.98 0.0348092
168 0.00618031 0 5.33313e-05 0 3.13257e-05 0 3.89181e-05 0 0.00614899 0 1.44132e-05 0 115.885 0.0294631
169 0.00619759 0 5.34362e-05 0 3.13831e-05 0 3.8977e-05 0 0.00616621 0 1.44592e-05 0 115.981 0.0401147
170 0.00618599 0 5.3448e-05 0 3.14427e-05 0 3.90333e-05 0 0.00615454 0 1.44147e-05 0 115.739 0.0389748
171 0.00620418 0 5.35372e-05 0 3.14771e-05 0 3.91073e-05 0 0.0061727 0 1.44299e-05 0 115.885 0.037831
172 0.00621302 0 5.35955e-05 0 3.1519e-05 0 3.9156e-05 0 0.0061815 0 1.44394e-05 0 115.924 0.0391927
173 0.00621375 0 5.36506e-05 0 3.15583e-05 0 3.92174e-05 0 0.00618219 0 1.44332e-05 0 115.819 0.0357802
174 0.00622203 0 5.37484e-05 0 3.16355e-05 0 3.92741e-05 0 0.00619039 0 1.44742e-05 0 115.762 0.0353786
