#X h w pH Kernel
0.0194 1e-10 0.0001 10 10
0.0194333 1e-10 0.0001 10 10
0.0194667 1e-10 0.0001 10 10
0.0195 1e-10 0.0001 10 10
0.0195333 1e-10 0.0001 10 10
0.0195667 1e-10 0.0001 10 10
0.0196 1e-10 0.0001 10 10
0.0196333 1e-10 0.0001 10 10
0.0196667 1e-10 0.0001 10 10
0.0197 1e-10 0.0001 10 10
0.0197333 1e-10 0.0001 10 10
0.0197667 1e-10 0.0001 10 10
0.0198 1e-10 0.0001 10 10
0.0198333 1e-10 0.0001 10 10
0.0198667 1e-10 0.0001 10 10
0.0199 1e-10 0.0001 10 10
0.0199333 1e-10 0.0001 10 10
0.0199667 1e-10 0.0001 10 10
0.02 1e-10 0.0001 10 10
